Iteration	CPUTime	PhysTime	Travels
1	5	0	0.0239675698
2	6	0	0.0479351395
3	6	0	0.0719027093
4	6	0	0.0958702791
5	7	0	0.119837849
6	7	0	0.143805419
7	7	0	0.167772988
8	7	0	0.191740558
9	8	0	0.215708128
10	8	0	0.239675698
11	8	0	0.263643267
12	9	0	0.287610837
13	9	0	0.311578407
14	9	0	0.335545977
15	9	0	0.359513547
16	9	0	0.383481116
17	10	0	0.407448686
18	10	0	0.431416256
19	10	0	0.455383826
20	10	0	0.479351395
21	10	0	0.503318965
22	11	0	0.527286535
23	11	0	0.551254105
24	11	0	0.575221674
25	11	0	0.599189244
26	12	0	0.623156814
27	12	0	0.647124384
28	12	0	0.671091954
29	12	0	0.695059523
30	12	0	0.719027093
31	13	0	0.742994663
32	13	0	0.766962233
33	13	0	0.790929802
34	13	0	0.814897372
35	13	0	0.838864942
36	14	0	0.862832512
37	14	0	0.886800082
38	14	0	0.910767651
39	14	0	0.934735221
40	15	0	0.958702791
41	15	0	0.982670361
42	15	0	1.00663793
