Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
56	11	0	1.4	293.510701	293.392362	293.281427	293.510701	0.156970913	0.0328269324	0	20.9	29.66	0	0	3
57	11	0	1.425	293.522526	293.403843	293.290493	293.522526	0.164426765	0.0336535937	0	20.4	29.6482	0	0	3
58	11	0	1.45	293.535245	293.415498	293.299118	293.535245	0.171689065	0.0344837737	0	20	29.6372	0	0	3
59	11	0	1.475	293.547853	293.427342	293.308077	293.547853	0.178755887	0.0353161751	0	19.7	29.6221	0	0	3
60	11	0	1.5	293.560384	293.439357	293.316893	293.560384	0.185615197	0.0361498437	0	19.4	29.6095	0	0	3
61	12	0	1.525	293.572642	293.451536	293.329943	293.572642	0.192085769	0.0369774053	0	19.2	29.5971	0	0	3
62	12	0	1.55	293.584395	293.463652	293.342983	293.584395	0.197945804	0.0377957914	0	19	29.5867	0	0	3
63	12	0	1.575	293.596495	293.475724	293.354939	293.596495	0.203271091	0.0386078735	0	18.9	29.5717	0	0	3
64	12	0	1.6	293.608339	293.487791	293.36707	293.608339	0.210832187	0.0394126065	0	18.6	29.5604	0	0	3
65	12	0	1.625	293.620019	293.499836	293.379701	293.620019	0.215377136	0.0402098952	0	18.6	29.5502	0	0	3
66	12	0	1.65	293.632608	293.511879	293.391403	293.632608	0.219467167	0.0409987985	0	18.6	29.5384	0	0	3
67	13	0	1.675	293.645141	293.523962	293.403792	293.645141	0.223169307	0.0417793007	0	18.7	29.5253	0	0	3
68	13	0	1.7	293.657027	293.536021	293.416675	293.657027	0.226401962	0.0425482468	0	18.7	29.5131	0	0	3
69	13	0	1.725	293.669101	293.548041	293.428236	293.669101	0.229218718	0.0433069023	0	18.8	29.5015	0	0	3
70	13	0	1.75	293.6811	293.560082	293.439698	293.6811	0.231691999	0.0440559488	0	19	29.4894	0	0	3
71	13	0	1.775	293.69258	293.572124	293.452093	293.69258	0.233757141	0.0447827183	0	19.1	29.476	0	0	3
72	13	0	1.8	293.704545	293.584146	293.46421	293.704545	0.235515134	0.045492311	0	19.3	29.4645	0	0	3
73	14	0	1.825	293.715664	293.59612	293.475223	293.715664	0.236983956	0.0461819327	0	19.4	29.4551	0	0	3
74	14	0	1.85	293.727271	293.608122	293.487196	293.727271	0.238199057	0.0468560264	0	19.6	29.442	0	0	3
75	14	0	1.875	293.739436	293.620134	293.499734	293.739436	0.239108696	0.0475179149	0	19.8	29.4315	0	0	3
76	14	0	1.9	293.752271	293.632159	293.510701	293.752271	0.239797117	0.0481598242	0	20	29.4199	0	0	3
77	14	0	1.925	293.764689	293.644254	293.522526	293.764689	0.240410843	0.0487806238	0	20.2	29.4071	0	0	3
78	14	0	1.95	293.777378	293.65639	293.535245	293.777378	0.240891779	0.0493847926	0	20.5	29.3926	0	0	3
79	15	0	1.975	293.789638	293.668504	293.547853	293.789638	0.241161172	0.0499706704	0	20.7	29.3782	0	0	3
80	15	0	2	293.800457	293.680532	293.560384	293.800457	0.240072992	0.0505347681	0	21	29.37	0	0	3
81	15	0	2.025	293.813055	293.692564	293.572642	293.813055	0.240412536	0.0510696935	0	21.2	29.3555	0	0	3
82	15	0	2.05	293.824873	293.704575	293.584395	293.824873	0.240478542	0.0515747862	0	21.4	29.3431	0	0	3
