Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
56	11	0	1.4	293.510699	293.392359	293.281424	293.510699	0.156970718	0.0328266371	0	20.9	29.66	0	0	3
57	11	0	1.425	293.522523	293.40384	293.29049	293.522523	0.164426629	0.0336533084	0	20.4	29.6482	0	0	3
58	11	0	1.45	293.535242	293.415495	293.299115	293.535242	0.171688985	0.0344834972	0	20	29.6372	0	0	3
59	11	0	1.475	293.54785	293.42734	293.308074	293.54785	0.17875586	0.0353159066	0	19.7	29.6221	0	0	3
60	11	0	1.5	293.560382	293.439354	293.316891	293.560382	0.185615227	0.0361495834	0	19.4	29.6095	0	0	3
61	12	0	1.525	293.572639	293.451533	293.32994	293.572639	0.192085844	0.0369771528	0	19.2	29.5971	0	0	3
62	12	0	1.55	293.584392	293.46365	293.34298	293.584392	0.197945912	0.0377955472	0	19	29.5867	0	0	3
63	12	0	1.575	293.596493	293.475722	293.354937	293.596493	0.203271216	0.0386076372	0	18.9	29.5717	0	0	3
64	12	0	1.6	293.608336	293.487788	293.367067	293.608336	0.210832313	0.0394123788	0	18.6	29.5604	0	0	3
65	12	0	1.625	293.620016	293.499833	293.379699	293.620016	0.21537727	0.040209675	0	18.6	29.5502	0	0	3
66	12	0	1.65	293.632605	293.511877	293.391401	293.632605	0.2194673	0.0409985861	0	18.6	29.5384	0	0	3
67	13	0	1.675	293.645138	293.523959	293.403789	293.645138	0.22316944	0.041779096	0	18.7	29.5253	0	0	3
68	13	0	1.7	293.657025	293.536018	293.416673	293.657025	0.226402091	0.0425480497	0	18.7	29.5131	0	0	3
69	13	0	1.725	293.669098	293.548039	293.428233	293.669098	0.229218837	0.0433067133	0	18.8	29.5015	0	0	3
70	13	0	1.75	293.681098	293.56008	293.439695	293.681098	0.23169211	0.0440557675	0	19	29.4894	0	0	3
71	13	0	1.775	293.692578	293.572122	293.45209	293.692578	0.233757249	0.0447825443	0	19.1	29.476	0	0	3
72	13	0	1.8	293.704543	293.584143	293.464207	293.704543	0.235515233	0.0454921441	0	19.3	29.4645	0	0	3
73	14	0	1.825	293.715661	293.596117	293.47522	293.715661	0.236984037	0.0461817724	0	19.4	29.4551	0	0	3
74	14	0	1.85	293.727268	293.60812	293.487193	293.727268	0.238199127	0.0468558719	0	19.6	29.442	0	0	3
75	14	0	1.875	293.739433	293.620131	293.499732	293.739433	0.239108749	0.0475177656	0	19.8	29.4315	0	0	3
76	14	0	1.9	293.752268	293.632157	293.510699	293.752268	0.239797152	0.0481596799	0	20	29.4199	0	0	3
77	14	0	1.925	293.764686	293.644251	293.522523	293.764686	0.240410872	0.0487804843	0	20.2	29.4071	0	0	3
78	14	0	1.95	293.777375	293.656387	293.535242	293.777375	0.240891806	0.0493846577	0	20.5	29.3926	0	0	3
79	15	0	1.975	293.789635	293.668501	293.54785	293.789635	0.241161209	0.0499705407	0	20.7	29.3782	0	0	3
80	15	0	2	293.800455	293.68053	293.560382	293.800455	0.240073051	0.0505346427	0	21	29.37	0	0	3
81	15	0	2.025	293.813052	293.692562	293.572639	293.813052	0.240412761	0.0510695724	0	21.2	29.3555	0	0	3
82	15	0	2.05	293.824871	293.704573	293.584392	293.824871	0.240478815	0.0515746689	0	21.4	29.3431	0	0	3
83	15	0	2.075	293.836017	293.716555	293.596493	293.836017	0.239524612	0.0520534467	0	21.7	29.3342	0	0	3
84	15	0	2.1	293.849422	293.728599	293.608336	293.849422	0.240810823	0.0525148076	0	21.8	29.3205	0	0	3
85	16	0	2.125	293.861174	293.740639	293.620016	293.861174	0.240805508	0.0529527299	0	21.9	29.3106	0	0	3
86	16	0	2.15	293.872936	293.752683	293.632605	293.872936	0.240330472	0.0533718069	0	22.2	29.2956	0	0	3
87	16	0	2.175	293.88518	293.76471	293.645138	293.88518	0.240041366	0.0537725898	0	22.4	29.2856	0	0	3
88	16	0	2.2	293.897378	293.776722	293.657025	293.897378	0.24035383	0.0541545334	0	22.5	29.2732	0	0	3
89	16	0	2.225	293.908564	293.7887	293.669098	293.908564	0.239465761	0.054519739	0	22.7	29.2603	0	0	3
90	17	0	2.25	293.92026	293.80066	293.681098	293.92026	0.239162252	0.0548710381	0	22.9	29.2498	0	0	3
91	17	0	2.275	293.932776	293.812644	293.692578	293.932776	0.24019861	0.055208919	0	22.9	29.2387	0	0	3
92	17	0	2.3	293.944584	293.824645	293.704543	293.944584	0.240041162	0.0555329109	0	23.1	29.2249	0	0	3
93	17	0	2.325	293.957028	293.836668	293.715661	293.957028	0.240550564	0.0558487284	0	23.2	29.2139	0	0	3
94	17	0	2.35	293.969167	293.84874	293.727268	293.969167	0.24062001	0.0561533106	0	23.3	29.2006	0	0	3
95	18	0	2.375	293.981681	293.860854	293.739433	293.981681	0.240723491	0.0564467491	0	23.4	29.1865	0	0	3
96	18	0	2.4	293.99382	293.872968	293.752268	293.99382	0.240811632	0.0567328476	0	23.5	29.1744	0	0	3
